Date,Holiday,Weekend,Year,YearMonth,Month No,Month,YearWeek,Week Start Date,Month Start Date,Day Of Week,DayOfWeekNBR,MonthNM,Long Month Year
1/2/20,0,0,2020,202001,1,Jan,2020-01,12/29/19,2020-01,Thu,5,January,January 2020
1/3/20,0,0,2020,202001,1,Jan,2020-01,12/29/19,2020-01,Fri,6,January,January 2020
1/6/20,0,0,2020,202001,1,Jan,2020-02,1/5/20,2020-01,Mon,2,January,January 2020
1/7/20,0,0,2020,202001,1,Jan,2020-02,1/5/20,2020-01,Tue,3,January,January 2020
1/8/20,0,0,2020,202001,1,Jan,2020-02,1/5/20,2020-01,Wed,4,January,January 2020
1/9/20,0,0,2020,202001,1,Jan,2020-02,1/5/20,2020-01,Thu,5,January,January 2020
1/10/20,0,0,2020,202001,1,Jan,2020-02,1/5/20,2020-01,Fri,6,January,January 2020
1/13/20,0,0,2020,202001,1,Jan,2020-03,1/12/20,2020-01,Mon,2,January,January 2020
1/14/20,0,0,2020,202001,1,Jan,2020-03,1/12/20,2020-01,Tue,3,January,January 2020
1/15/20,0,0,2020,202001,1,Jan,2020-03,1/12/20,2020-01,Wed,4,January,January 2020
1/16/20,0,0,2020,202001,1,Jan,2020-03,1/12/20,2020-01,Thu,5,January,January 2020
1/17/20,0,0,2020,202001,1,Jan,2020-03,1/12/20,2020-01,Fri,6,January,January 2020
1/21/20,0,0,2020,202001,1,Jan,2020-04,1/19/20,2020-01,Tue,3,January,January 2020
1/22/20,0,0,2020,202001,1,Jan,2020-04,1/19/20,2020-01,Wed,4,January,January 2020
1/23/20,0,0,2020,202001,1,Jan,2020-04,1/19/20,2020-01,Thu,5,January,January 2020
1/24/20,0,0,2020,202001,1,Jan,2020-04,1/19/20,2020-01,Fri,6,January,January 2020
1/27/20,0,0,2020,202001,1,Jan,2020-05,1/26/20,2020-01,Mon,2,January,January 2020
1/28/20,0,0,2020,202001,1,Jan,2020-05,1/26/20,2020-01,Tue,3,January,January 2020
1/29/20,0,0,2020,202001,1,Jan,2020-05,1/26/20,2020-01,Wed,4,January,January 2020
1/30/20,0,0,2020,202001,1,Jan,2020-05,1/26/20,2020-01,Thu,5,January,January 2020
1/31/20,0,0,2020,202001,1,Jan,2020-05,1/26/20,2020-01,Fri,6,January,January 2020
2/3/20,0,0,2020,202002,2,Feb,2020-06,2/2/20,2020-02,Mon,2,February,February 2020
2/4/20,0,0,2020,202002,2,Feb,2020-06,2/2/20,2020-02,Tue,3,February,February 2020
2/5/20,0,0,2020,202002,2,Feb,2020-06,2/2/20,2020-02,Wed,4,February,February 2020
2/6/20,0,0,2020,202002,2,Feb,2020-06,2/2/20,2020-02,Thu,5,February,February 2020
2/7/20,0,0,2020,202002,2,Feb,2020-06,2/2/20,2020-02,Fri,6,February,February 2020
2/10/20,0,0,2020,202002,2,Feb,2020-07,2/9/20,2020-02,Mon,2,February,February 2020
2/11/20,0,0,2020,202002,2,Feb,2020-07,2/9/20,2020-02,Tue,3,February,February 2020
2/12/20,0,0,2020,202002,2,Feb,2020-07,2/9/20,2020-02,Wed,4,February,February 2020
2/13/20,0,0,2020,202002,2,Feb,2020-07,2/9/20,2020-02,Thu,5,February,February 2020
2/14/20,0,0,2020,202002,2,Feb,2020-07,2/9/20,2020-02,Fri,6,February,February 2020
2/17/20,0,0,2020,202002,2,Feb,2020-08,2/16/20,2020-02,Mon,2,February,February 2020
2/18/20,0,0,2020,202002,2,Feb,2020-08,2/16/20,2020-02,Tue,3,February,February 2020
2/19/20,0,0,2020,202002,2,Feb,2020-08,2/16/20,2020-02,Wed,4,February,February 2020
2/20/20,0,0,2020,202002,2,Feb,2020-08,2/16/20,2020-02,Thu,5,February,February 2020
2/21/20,0,0,2020,202002,2,Feb,2020-08,2/16/20,2020-02,Fri,6,February,February 2020
2/24/20,0,0,2020,202002,2,Feb,2020-09,2/23/20,2020-02,Mon,2,February,February 2020
2/25/20,0,0,2020,202002,2,Feb,2020-09,2/23/20,2020-02,Tue,3,February,February 2020
2/26/20,0,0,2020,202002,2,Feb,2020-09,2/23/20,2020-02,Wed,4,February,February 2020
2/27/20,0,0,2020,202002,2,Feb,2020-09,2/23/20,2020-02,Thu,5,February,February 2020
2/28/20,0,0,2020,202002,2,Feb,2020-09,2/23/20,2020-02,Fri,6,February,February 2020
3/2/20,0,0,2020,202003,3,Mar,2020-10,3/1/20,2020-03,Mon,2,March,March 2020
3/3/20,0,0,2020,202003,3,Mar,2020-10,3/1/20,2020-03,Tue,3,March,March 2020
3/4/20,0,0,2020,202003,3,Mar,2020-10,3/1/20,2020-03,Wed,4,March,March 2020
3/5/20,0,0,2020,202003,3,Mar,2020-10,3/1/20,2020-03,Thu,5,March,March 2020
3/6/20,0,0,2020,202003,3,Mar,2020-10,3/1/20,2020-03,Fri,6,March,March 2020
3/9/20,0,0,2020,202003,3,Mar,2020-11,3/8/20,2020-03,Mon,2,March,March 2020
3/10/20,0,0,2020,202003,3,Mar,2020-11,3/8/20,2020-03,Tue,3,March,March 2020
3/11/20,0,0,2020,202003,3,Mar,2020-11,3/8/20,2020-03,Wed,4,March,March 2020
3/12/20,0,0,2020,202003,3,Mar,2020-11,3/8/20,2020-03,Thu,5,March,March 2020
3/13/20,0,0,2020,202003,3,Mar,2020-11,3/8/20,2020-03,Fri,6,March,March 2020
3/16/20,0,0,2020,202003,3,Mar,2020-12,3/15/20,2020-03,Mon,2,March,March 2020
3/17/20,0,0,2020,202003,3,Mar,2020-12,3/15/20,2020-03,Tue,3,March,March 2020
3/18/20,0,0,2020,202003,3,Mar,2020-12,3/15/20,2020-03,Wed,4,March,March 2020
3/19/20,0,0,2020,202003,3,Mar,2020-12,3/15/20,2020-03,Thu,5,March,March 2020
3/20/20,0,0,2020,202003,3,Mar,2020-12,3/15/20,2020-03,Fri,6,March,March 2020
3/23/20,0,0,2020,202003,3,Mar,2020-13,3/22/20,2020-03,Mon,2,March,March 2020
3/24/20,0,0,2020,202003,3,Mar,2020-13,3/22/20,2020-03,Tue,3,March,March 2020
3/25/20,0,0,2020,202003,3,Mar,2020-13,3/22/20,2020-03,Wed,4,March,March 2020
3/26/20,0,0,2020,202003,3,Mar,2020-13,3/22/20,2020-03,Thu,5,March,March 2020
3/27/20,0,0,2020,202003,3,Mar,2020-13,3/22/20,2020-03,Fri,6,March,March 2020
3/30/20,0,0,2020,202003,3,Mar,2020-14,3/29/20,2020-03,Mon,2,March,March 2020
3/31/20,0,0,2020,202003,3,Mar,2020-14,3/29/20,2020-03,Tue,3,March,March 2020
4/1/20,0,0,2020,202004,4,Apr,2020-14,3/29/20,2020-04,Wed,4,April,April 2020
4/2/20,0,0,2020,202004,4,Apr,2020-14,3/29/20,2020-04,Thu,5,April,April 2020
4/3/20,0,0,2020,202004,4,Apr,2020-14,3/29/20,2020-04,Fri,6,April,April 2020
4/6/20,0,0,2020,202004,4,Apr,2020-15,4/5/20,2020-04,Mon,2,April,April 2020
4/7/20,0,0,2020,202004,4,Apr,2020-15,4/5/20,2020-04,Tue,3,April,April 2020
